Wavelength, Spectrum
744.453581,2519.456667
744.781151,2466.057778
745.108673,2529.165556
745.436146,2492.757222
745.763571,2534.020000
746.090948,2548.583333
746.418277,2551.010556
746.745557,2529.165556
747.072790,2461.203333
747.399973,2521.883889
747.727109,2480.621111
748.054196,2446.640000
748.381235,2504.893333
748.708225,2563.146667
749.035168,2631.108889
749.362061,2582.564444
749.688907,2507.320556
750.015704,2512.175000
750.342453,2453.921667
750.669153,2492.757222
750.995805,2483.048333
751.322408,2487.902778
751.648964,2417.513333
751.975470,2475.766667
752.301929,2485.475556
752.628338,2514.602222
752.954700,2526.738333
753.281013,2487.902778
753.607278,2487.902778
753.933494,2589.846111
754.259661,2487.902778
754.585781,2517.029444
754.911851,2517.029444
755.237874,2551.010556
755.563847,2432.076667
755.889773,2541.301667
756.215649,2487.902778
756.541478,2458.776111
756.867257,2475.766667
757.192988,2432.076667
757.518671,2470.912222
757.844305,2512.175000
758.169891,2458.776111
758.495428,2434.503889
758.820916,2383.532222
759.146356,2470.912222
759.471747,2466.057778
759.797090,2546.156111
760.122384,2466.057778
760.447630,2514.602222
760.772827,2485.475556
761.097975,2434.503889
761.423075,2536.447222
761.748126,2497.611667
762.073128,2492.757222
762.398082,2444.212778
762.722987,2500.038889
763.047843,2444.212778
763.372651,2531.592778
763.697410,2568.001111
764.022121,2470.912222
764.346783,2422.367778
764.671396,2490.330000
764.995960,2470.912222
765.320476,2490.330000
765.644942,2553.437778
765.969361,2514.602222
766.293730,2461.203333
766.618051,2470.912222
766.942323,2500.038889
767.266546,2483.048333
767.590721,2497.611667
767.914846,2475.766667
768.238923,2509.747778
768.562951,2553.437778
768.886931,2504.893333
769.210861,2449.067222
769.534743,2512.175000
769.858576,2500.038889
770.182360,2507.320556
770.506095,2449.067222
770.829781,2517.029444
771.153419,2456.348889
771.477008,2563.146667
771.800548,2478.193889
772.124039,2507.320556
772.447481,2429.649444
772.770874,2502.466111
773.094218,2512.175000
773.417514,2429.649444
773.740761,2512.175000
774.063958,2492.757222
774.387107,2446.640000
774.710207,2509.747778
775.033258,2463.630556
775.356260,2427.222222
775.679213,2466.057778
776.002117,2458.776111
776.324972,2451.494444
776.647778,2509.747778
776.970535,2502.466111
777.293243,2458.776111
777.615902,2492.757222
777.938513,2451.494444
778.261074,2485.475556
778.583586,2514.602222
778.906049,2526.738333
779.228463,2514.602222
779.550828,2504.893333
779.873144,2492.757222
780.195411,2473.339444
780.517629,2478.193889
780.839798,2555.865000
781.161918,2517.029444
781.483989,2436.931111
781.806010,2466.057778
782.127983,2478.193889
782.449906,2517.029444
782.771781,2473.339444
783.093606,2424.795000
783.415382,2444.212778
783.737109,2483.048333
784.058787,2385.959444
784.380415,2568.001111
784.701995,2485.475556
